SEGMENT_ID,COMPONENT,SOURCE,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT,SCALING_NOTE,PRIORITY,IS_OBS,IS_MODEL,IS_RECON,IS_BRIDGE,IS_PHX,IS_HYBRID,COMPONENT_DETAIL
1,FISM2/Lx X-ray,FISM2_solar_minimum_scaled_to_Sanz_47UMa_Lx_Xray,0.550000011920929,12.350000381469728,119,literature_scaled_reconstruction,FISM2 solar minimum + literature Lx,FISM2 solar-minimum X-ray/soft-X spectral shape scaled to the adopted literature X-ray luminosity; not a direct XMM spectral measurement.,1,False,True,True,False,False,False,FISM2 solar-minimum high-energy reconstruction scaled to literature Lx and Sanz EUV; XMM used only diagnostically
2,FISM2/Sanz EUV,FISM2_solar_minimum_scaled_to_Sanz_47UMa_EUV,12.449999809265137,91.1500015258789,788,semiempirical_reconstruction,FISM2 solar minimum + Sanz-Forcada EUV relation,FISM2 EUV spectral shape normalized to the Sanz-Forcada EUV luminosity inferred from the adopted Lx.,2,False,True,True,False,False,False,FISM2 solar-minimum high-energy reconstruction scaled to literature Lx and Sanz EUV; XMM used only diagnostically
3,FISM2 transition bridge,FISM2_transition_bridge_scaled_to_HST_FUV,91.25,114.95000457763672,238,semiempirical_transition_bridge,FISM2 solar minimum transition bridge,"FISM2 91.2-115 nm transition bridge, adjusted only as specified by the final 47 UMa stitch; low-confidence transition region.",3,False,True,True,True,False,False,FISM2 91.2--115 nm transition bridge multiplied by one HST/FUV-edge scale factor; 12.4--91.2 nm Sanz EUV normalization left unchanged
4,HST/COS FUV,HST_HLSP_ASPEC_FUV_COS_G130M,115.00003662109376,143.9194091796875,18736,direct_observation,HST/COS FUV HLSP/ASPEC,Direct HST observed UV spectral product used in the final stitch.,4,True,False,False,False,False,False,HST observed flux converted to stellar surface flux using adopted distance and radius; split into contiguous chunk 1 (114.0859-143.9194 nm); large internal HST gaps are not connected across missing wavelength coverage; split into contiguous chunk 1 (115.0000-143.9194 nm); final HST UV component split before IUE gap filling
5,IUE gap-fill,IUE_low_dispersion_scaled_to_HST_chunk01,144.05866607427598,256.66813611984253,573,observed_gapfill_bridge,IUE,IUE observed ultraviolet component scaled/trimmed as needed to fill gaps between HST and Gaia.,5,True,False,False,True,False,False,IUE bridge scaled to HST overlap; inserted only in true HST/Gaia coverage gaps; split into contiguous chunk 1 (144.0587-256.6681 nm); IUE inserted only in gaps left by HST before Gaia
6,HST/STIS NUV,HST_HLSP_ASPEC_NUV_STIS_E230H,256.9081298828125,284.552490234375,22574,direct_observation,HST/STIS NUV HLSP/ASPEC,Direct HST observed UV spectral product used in the final stitch.,4,True,False,False,False,False,False,HST observed flux converted to stellar surface flux using adopted distance and radius; split into contiguous chunk 2 (256.9081-284.5525 nm); large internal HST gaps are not connected across missing wavelength coverage; split into contiguous chunk 2 (256.9081-284.5525 nm); final HST UV component split before IUE gap filling
7,IUE/LWR+LWP bridge,IUE_low_dispersion_scaled_to_HST_NUV_LW,284.69151616096497,329.79581356048584,170,observed_gapfill_bridge,IUE/LWR+LWP,IUE observed ultraviolet component scaled/trimmed as needed to fill gaps between HST and Gaia.,5,True,False,False,True,False,False,IUE bridge scaled to HST overlap; inserted only in true HST/Gaia coverage gaps; split into contiguous chunk 2 (284.6915-329.7958 nm); IUE inserted only in gaps left by HST before Gaia
8,PHOENIX blue bridge,PHOENIX_blue_bridge_scaled_to_Gaia,330.0000000000068,345.95000000001045,320,photosphere_model_bridge,PHOENIX,PHOENIX photospheric bridge scaled to the Gaia/observed optical anchor.,7,False,True,False,True,True,False,Short PHOENIX bridge inserted after cutting the noisy IUE red edge; scaled to Gaia XP using the same optical windows as the red tail
9,Gaia DR3 XP sampled,Gaia_DR3_XP_sampled,346.0,1020.0,338,direct_observation,Gaia DR3 XP sampled,Gaia DR3 XP sampled spectrophotometry.,6,True,False,False,False,False,False,Gaia XP sampled flux converted from W m^-2 nm^-1 to surface flux using adopted distance and radius
10,PHOENIX tail,PHOENIX_tail_scaled_to_Gaia,1020.0000000001636,4999.9500000010685,79600,photosphere_model_scaled,PHOENIX,PHOENIX photospheric model extension scaled to the Gaia/observed optical anchor.,7,False,True,False,False,True,False,Optional PHOENIX tail scaled to Gaia XP red optical/NIR windows
